airline_name,flight_code
GO FIRST,153
Indigo,5328
Indigo,5343
Air India,895
Indigo,7261
Indigo,296
Indigo,295
Indigo,2186
AirAsia,779
Indigo,2131
SpiceJet,241
SpiceJet,198
Indigo,2061
Indigo,132
Indigo,2479
Indigo,5399
Air India,623
Indigo,6445
Indigo,751
GO FIRST,133
Indigo,5317
Indigo,218
Indigo,188
AirAsia,1622
SpiceJet,136
Indigo,2514
Indigo,6893
Indigo,6258
Indigo,6358
Indigo,183
SpiceJet,8483
Indigo,6016
Indigo,7076
SpiceJet,8108
Indigo,5218
AirAsia,2472
Indigo,7204
Indigo,7216
Indigo,2518
Indigo,2172
Indigo,2513
Indigo,6616
Indigo,7118
Indigo,5331
Indigo,2054
Indigo,224
Indigo,606
GO FIRST,145
SpiceJet,8104
Indigo,6307
Indigo,912
Indigo,2043
SpiceJet,339
Indigo,954
Indigo,5384
Indigo,6798
Indigo,5391
Air India,475
Indigo,5031
Indigo,2065
Indigo,312
Indigo,6261
Indigo,757
SpiceJet,8187
Indigo,6386
Air India,420
Indigo,6891
SpiceJet,467
Indigo,2685
Indigo,7713
Indigo,5389
GO FIRST,266
Air India,9927
Indigo,184
SpiceJet,489
SpiceJet,8185
Air India,780
Indigo,5203
Indigo,897
Indigo,5368
Indigo,2517
Indigo,2034
Indigo,6087
SpiceJet,3440
SpiceJet,349
SpiceJet,4031
Air India,627
Indigo,5365
Indigo,6737
SpiceJet,8263
Indigo,5018
Indigo,932
Air India,431
AirAsia,2392
Indigo,487
Indigo,2616
Indigo,6722
Indigo,2027
SpiceJet,3832
SpiceJet,4025
Indigo,207
Indigo,2337
Indigo,7121
SpiceJet,388
Air India,9887
Indigo,6171
Indigo,2001
SpiceJet,3229
Indigo,975
Indigo,2843
Indigo,438
SpiceJet,8107
Indigo,811
Indigo,809
SpiceJet,2697
Indigo,7149
Indigo,994
SpiceJet,2277
Indigo,244
Indigo,2076
SpiceJet,923
Indigo,2329
GO FIRST,503
Indigo,6597
Indigo,6721
Indigo,289
Indigo,949
AirAsia,1566
Air India,9755
Indigo,539
Indigo,761
SpiceJet,329
Indigo,2097
AirAsia,820
SpiceJet,3835
Indigo,2092
GO FIRST,661
Indigo,2036
SpiceJet,390
Indigo,483
SpiceJet,4003
Indigo,854
Indigo,917
AirAsia,541
SpiceJet,4005
Indigo,6464
GO FIRST,2401
GO FIRST,2605
Indigo,627
Indigo,5344
Indigo,2137
Indigo,5336
Indigo,2025
Indigo,875
AirAsia,482
Indigo,806
AirAsia,338
AirAsia,583
Indigo,2127
AirAsia,1783
GO FIRST,461
Indigo,332
Indigo,6739
SpiceJet,8938
GO FIRST,2231
AirAsia,678
GO FIRST,787
Indigo,889
Indigo,881
Indigo,2009
GO FIRST,303
GO FIRST,2403
Indigo,409
Indigo,5396
GO FIRST,2417
GO FIRST,347
GO FIRST,2411
Indigo,102
SpiceJet,209
AirAsia,788
GO FIRST,2609
Indigo,5382
Indigo,995
Indigo,832
Air India,688
GO FIRST,213
Indigo,5214
Indigo,165
Indigo,702
Air India,775
Indigo,6593
Air India,771
AirAsia,5205
Indigo,989
Indigo,2031
SpiceJet,3023
Indigo,6753
Indigo,959
Indigo,2367
Indigo,425
Air India,549
Indigo,7407
Indigo,434
Indigo,767
Indigo,356
AirAsia,2462
Air India,9925
GO FIRST,2511
Vistara,741
AirAsia,1731
Air India,9921
Indigo,2343
GO FIRST,7557
GO FIRST,681
Indigo,6088
Indigo,898
GO FIRST,231
Indigo,2042
Indigo,6182
Indigo,246
SpiceJet,343
Indigo,5352
Indigo,5073
Indigo,5302
